
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3741      ,"X": 71.84%,"Y":103.09%,"Timestamp": 4896.17
"Frame": 3742      ,"X": 74.20%,"Y":103.04%,"Timestamp": 4916.37
"Frame": 3743      ,"X": 76.34%,"Y":103.67%,"Timestamp": 4936.67
"Frame": 3744      ,"X": 78.83%,"Y":104.26%,"Timestamp": 4957.56
"Frame": 3745      ,"X": 87.18%,"Y":107.13%,"Timestamp": 4977.12
"Frame": 3746      ,"X": 92.31%,"Y":111.80%,"Timestamp": 4997.42
"Frame": 3747      ,"X": 99.36%,"Y":120.52%,"Timestamp": 5017.67
"Frame": 3748      ,"X":103.60%,"Y":125.83%,"Timestamp": 5037.88
"Frame": 3749      ,"X":106.98%,"Y":129.44%,"Timestamp": 5058.11
"Frame": 3750      ,"X":108.71%,"Y":131.73%,"Timestamp": 5078.42
"Frame": 3751      ,"X":110.38%,"Y":134.54%,"Timestamp": 5099.98
"Frame": 3752      ,"X":111.03%,"Y":135.86%,"Timestamp": 5118.87
"Frame": 3753      ,"X":111.49%,"Y":136.83%,"Timestamp": 5139.17
"Frame": 3754      ,"X":111.33%,"Y":137.69%,"Timestamp": 5159.42
"Frame": 3755      ,"X":111.27%,"Y":138.51%,"Timestamp": 5179.81
"Frame": 3756      ,"X":110.00%,"Y":142.27%,"Timestamp": 5199.88
"Frame": 3757      ,"X":109.90%,"Y":142.84%,"Timestamp": 5220.13
"Frame": 3758      ,"X":109.93%,"Y":142.90%,"Timestamp": 5240.42
"Frame": 3759      ,"X":109.25%,"Y":143.09%,"Timestamp": 5260.63
"Frame": 3760      ,"X":108.02%,"Y":140.53%,"Timestamp": 5280.91
"Frame": 3761      ,"X":106.05%,"Y":134.48%,"Timestamp": 5301.17
"Frame": 3762      ,"X":102.80%,"Y":130.31%,"Timestamp": 5321.42
"Frame": 3763      ,"X":100.62%,"Y":125.27%,"Timestamp": 5341.67
"Frame": 3764      ,"X": 98.55%,"Y":122.18%,"Timestamp": 5361.92
"Frame": 3765      ,"X": 97.09%,"Y":119.83%,"Timestamp": 5382.17
